北京大学	Peking University
中国人民大学	Renmin University of China
清华大学	Tsinghua University
北京航空航天大学	Beijing University of Aeronautics and Astronautics
北京理工大学	Beijing University of Technology
中国农业大学	China Agricultural University
北京师范大学	Beijing Normal University
中央民族大学	Central University for Nationalities
南开大学	Nankai University
天津大学	Tianjin University
大连理工大学	Dalian University of Technology
东北大学	Northeast University
吉林大学	Jilin University
哈尔滨工业大学	Harbin Institute of Technology
复旦大学	Fudan University
同济大学	Tongji University
上海交通大学	Shanghai Jiaotong University
华东师范大学	East China Normal University
南京大学	Nanjing University
东南大学	Southeast University
中国矿业大学(徐州)	China University of mining and Technology (Xuzhou)
浙江大学	Zhejiang University
中国科学技术大学	University of science and technology of China
厦门大学	Xiamen University
山东大学	Shandong University
中国海洋大学	Ocean University of China
武汉大学	WuHan University
湖南大学	Hunan University
中山大学	Sun Yat-sen University
华南理工大学	South China University of Technology
重庆大学	Chongqing University
电子科技大学	University of Electronic Science and technology
西安交通大学	Xi'an Jiaotong University
西北工业大学	Northwest Polytechnic University
兰州大学	Lanzhou University
四川大学	Sichuan University
西北农林科技大学	Northwest A & F University
中南大学	Central South University
华中科技大学	Huazhong University of science and technology
东北大学秦皇岛分校	Northeastern University at Qinhuangdao
山东大学威海分校	Shandong University at Weihai
哈尔滨工业大学（威海）	Harbin Institute of Technology (Weihai)
北京交通大学	Beijing Jiaotong University
北京工业大学	Beijing University of Technology
北京科技大学	Beijing University of science and technology
北京化工大学	Beijing University of Chemical Technology
北京邮电大学	Beijing University of Posts and Telecommunications
北京林业大学	Beijing Forestry University
北京协和医学院	Peking Union Medical College
北京中医药大学	Beijing University of traditional Chinese Medicine
北京外国语大学	Beijing University of Foreign Studies
中央财经大学	Central University of Finance and Economics
对外经济贸易大学	University of international business and Economics
北京体育大学	Beijing Sport University
中央音乐学院	Central Conservatory of music
中国政法大学	China University of political science and law
华北电力大学	North China Electric Power University
华北电力大学(保定)	North China Electric Power University (Baoding)
河北工业大学	Hebei University of Technology
太原理工大学	Taiyuan University of Technology
内蒙古大学	Inner Mongolia University
辽宁大学	Liaoning University
大连海事大学	Dalian Maritime University
延边大学	Yanbian University
东北师范大学	Northeast Normal University
哈尔滨工程大学	Harbin Engineering University
东北林业大学	Northeast Forestry University
华东理工大学	East China University of Science and Technology
东华大学	Donghua University
上海中医药大学	Shanghai University of traditional Chinese Medicine
上海外国语大学	Shanghai Foreign Studies University
上海财经大学	Shanghai University of Finance and Economics
苏州大学	Suzhou University
南京航空航天大学	Nanjing University of Aeronautics and Astronautics
南京理工大学	Nanjing University of Technology
河海大学	Hohai University
江南大学	Jiangnan University
南京农业大学	Nanjing Agricultural University
中国药科大学	China Pharmaceutical University
南京师范大学	Nanjing Normal University
安徽大学	Anhui University
合肥工业大学	Hefei Polytechnic University
福州大学	Fuzhou University
郑州大学	Zhengzhou University
华中农业大学	Huazhong Agricultural University
华中师范大学	Central China Normal University
湖南师范大学	Hunan Normal University
暨南大学	Jinan University
华南农业大学	South China Agricultural University
广州中医药大学	Guangzhou University of traditional Chinese Medicine
华南师范大学	South China Normal University
海南大学	Hainan University
广西大学	Guangxi University
西南交通大学	Southwest Jiaotong University
四川农业大学	Sichuan Agricultural University
西南大学	Southwest University
西南财经大学	Southwest University of Finance and Economics
贵州大学	Guizhou University
云南大学	Yunnan University
西藏大学	Tibet University
西北大学	Northwestern University
西安电子科技大学	Xi'an University of Electronic Science and technology
陕西师范大学	Shaanxi Normal University
青海大学	qinghai university
宁夏大学	Ningxia University
新疆大学	Xinjiang University
石河子大学	Shihezi University
中国矿业大学	China University of mining and technology
中国地质大学	China University of Geosciences
南昌大学	Nanchang University
上海大学	Shanghai University
天津医科大学	Tianjin Medical University
长安大学	Chang'an University
中南财经政法大学	Central South University of finance, economics and law
武汉理工大学	Wuhan University of Technology
东北农业大学	Northeast Agricultural University
